시장명,시장유형,시장개설주기,취급품목,지역,상호명,업종대분류,업종중분류,업종소분류,도로명주소,거리(m),상가업소번호,경도,위도
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,기성주단,소매,섬유·의복·신발 소매,한복 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220807441454,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,김밥나라,음식,기타 간이,김밥/만두/분식,전라남도 여수시 중앙로 46-1,64.2,MA010120220807924187,127.732575975503,34.7400147873259
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,김밥천국,음식,기타 간이,김밥/만두/분식,전라남도 여수시 충무1길 2-1,136.1,MA010120220809323694,127.731143004827,34.7409698639091
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,까뜨리네뜨,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 순천시 황금2길 2,91.9,MA010120220807859388,127.484204100217,34.9540206941391
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,까페비쥬,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,전라남도 순천시 황금2길 7-1,119.9,MA010120220807876340,127.484972092641,34.9542970577161
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,껍딱&모모,소매,섬유·의복·신발 소매,가방 소매업,전라남도 여수시 진남상가길 40-2,84.3,MA010120220804469688,127.732511316683,34.7413492422158
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,끝순이네식당,음식,주점,요리 주점,전라남도 순천시 중앙시장길 18,0.0,MA010120220810045540,127.484604712875,34.9532619379605
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,나도미,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220807924752,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,나우,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220807922247,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,나이키여수여천점,소매,오락용품 소매,운동용품 소매업,전라남도 여수시 통제영3길 8,136.3,MA0106202507A2304739,127.734045259751,34.740700015723
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,나티니안경원리스점,소매,안경·정밀기기 소매,안경렌즈 소매업,전라남도 순천시 중앙로 96-1,112.0,MA010120220807866957,127.484161369038,34.9542011403031
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,남문,음식,비알코올 ,카페,전라남도 순천시 중앙로 81-1,90.3,MA010120220812078243,127.483694146867,34.9529410708324
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,남촌다실,음식,비알코올 ,카페,전라남도 여수시 중앙로 36,103.4,MA010120220807919447,127.731604819986,34.7400927365246
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,낭만로또,소매,종합 소매,슈퍼마켓,전라남도 여수시 진남상가길 43,59.7,MA0106202508A0094873,127.732191877264,34.7410356744889
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,네이처컬렉션,소매,의약·화장품 소매,화장품 소매업,전라남도 여수시 진남상가길 42-1,85.5,MA010120220807825719,127.732347449499,34.7413412137183
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,네일.히어,수리·개인,이용·미용,네일숍,전라남도 여수시 충무오거리길 21,109.7,MA010120220813649598,127.732818884201,34.7415547130128
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,네일몽,수리·개인,이용·미용,네일숍,전라남도 여수시 통제영3길 3,104.3,MA010120220812213459,127.733694016218,34.7404948111107
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,뉴남행열차7080,음식,주점,일반 유흥 주점,전라남도 순천시 남문천변길 22,91.4,MA0101202409A0017830,127.485268910694,34.952646348331
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,뉴마이홈스넥,음식,기타 간이,김밥/만두/분식,전라남도 여수시 중앙로 43,0.0,MA010120220807924765,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,님프만충무,소매,섬유·의복·신발 소매,침구류/커튼 소매업,전라남도 여수시 통제영1길 5,35.9,MA010120220807906328,127.732166142559,34.7405941451848
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,다듬이생활한복,소매,섬유·의복·신발 소매,침구류/커튼 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220807909231,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,다옴식당,음식,한식,백반/한정식,전라남도 여수시 통제영3길 3,104.3,MA0101202411A0094566,127.733694016218,34.7404948111107
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,다이나핏,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 진남상가길 37,76.1,MA010120220812932477,127.732859695553,34.741229964952
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,다정,음식,한식,백반/한정식,전라남도 여수시 충무1길 5,130.5,MA010120220813094859,127.73114086082,34.7407264998563
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,다해,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 여수시 통제영2길 12-8,74.4,MA010120220807917218,127.733261076351,34.7409300884367
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,달무인텔,숙박,일반 숙박,여관/모텔,전라남도 여수시 충무로 48-9,60.0,MA010120220810402875,127.731938352304,34.7407667795828
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,대경관광여행사,시설관리·임대,여행사·보조,여행사,전라남도 여수시 충무로 45-2,125.8,MA010120220812790554,127.731183822503,34.7406451163002
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,대성상회,소매,섬유·의복·신발 소매,실/섬유제품 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220807924722,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,대원전자,소매,가전·통신 소매,가전제품 소매업,전라남도 여수시 이순신광장로 11-1,137.9,MA010120220807928059,127.732024857912,34.7394321935101
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,대전주식당,음식,한식,백반/한정식,전라남도 여수시 충무로 38-4,132.3,MA010120220807927916,127.731688198871,34.7396415375875
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,대한마크,소매,장식품 소매,기념품점,전라남도 순천시 중앙로 77-1,107.0,MA010120220807854705,127.48371424185,34.952634521828
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,대한칼라스튜디오,과학·기술,사진 촬영,사진촬영업,전라남도 여수시 중앙로 38,93.7,MA010120220807912935,127.731768287282,34.7400556986382
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,더비,소매,섬유·의복·신발 소매,남성 의류 소매업,전라남도 순천시 황금2길 4-1,79.2,MA010120220807894918,127.484466529413,34.9539655649624
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,더빛나스킨&바디,수리·개인,이용·미용,피부 관리실,전라남도 순천시 중앙로 82,62.3,MA010120220806367512,127.484142471185,34.952849146785
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,덕창철물점,소매,철물·건설자재 소매,철물/공구 소매업,전라남도 여수시 교동남1길 6-17,100.5,MA010120220807922670,127.732638625076,34.7396899079013
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,데상트,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 진남상가길 33-17,147.2,MA010120220807920855,127.733930330988,34.7412866156104
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,도담,음식,한식,백반/한정식,전라남도 여수시 충무로 54-9,124.7,MA010120220813563783,127.731726248541,34.7414801568647
